workload_profile	workload_tier	context_budget	node_count	topology	status	total_gpus	selected_total_gpus	selected_gpu_fraction	cluster_tokens_s	tokens_s_user	tokens_s_gpu_selected	tokens_s_gpu_allocated	request_rate	concurrency	scale_vs_topology_baseline	scale_vs_agg_1n	parallelism	prefill_parallelism	decode_parallelism	script_shape	source_run
stress_128k_16k	stress_rl	128K	512	disagg	candidate	4096	4056	0.990	5064.622	90.246	1.249	1.236	0.309	60.000	12.000	14.493	prefill tp8pp1dp1etp1ep8 | decode tp8pp1dp1etp1ep8	tp8pp1dp1etp1ep8	tp8pp1dp1etp1ep8	node_local	20260423T221500Z_rl_pow2_512_unfiltered
stress_256k_32k	stress_rl	256K	1	agg	no_results	8	0	0.000												no_results	20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256
stress_256k_32k	stress_rl	256K	2	agg	no_results	16	0	0.000												no_results	20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256
stress_256k_32k	stress_rl	256K	4	agg	no_results	32	0	0.000												no_results	20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256
stress_256k_32k	stress_rl	256K	8	agg	no_results	64	0	0.000												no_results	20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256
stress_256k_32k	stress_rl	256K	16	agg	no_results	128	0	0.000												no_results	20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256
stress_256k_32k	stress_rl	256K	32	agg	no_results	256	0	0.000												no_results	20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256
stress_256k_32k	stress_rl	256K	64	agg	no_results	512	0	0.000												no_results	20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256
stress_256k_32k	stress_rl	256K	128	agg	no_results	1024	0	0.000												no_results	20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256
stress_256k_32k	stress_rl	256K	256	agg	no_results	2048	0	0.000												no_results	20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256
stress_256k_32k	stress_rl	256K	512	agg	no_results	4096	0	0.000												no_results	20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256
stress_256k_32k	stress_rl	256K	1	disagg	no_results	8	0	0.000												no_results	20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256
stress_256k_32k	stress_rl	256K	2	disagg	no_results	16	0	0.000												no_results	20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256
stress_256k_32k	stress_rl	256K	4	disagg	no_results	32	0	0.000												no_results	20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256
stress_256k_32k	stress_rl	256K	8	disagg	no_results	64	0	0.000												no_results	20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256
stress_256k_32k	stress_rl	256K	16	disagg	no_results	128	0	0.000												no_results	20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256
stress_256k_32k	stress_rl	256K	32	disagg	no_results	256	0	0.000												no_results	20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256
stress_256k_32k	stress_rl	256K	64	disagg	no_results	512	0	0.000												no_results	20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256
stress_256k_32k	stress_rl	256K	128	disagg	no_results	1024	0	0.000												no_results	20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256
stress_256k_32k	stress_rl	256K	256	disagg	no_results	2048	0	0.000												no_results	20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256
stress_256k_32k	stress_rl	256K	512	disagg	no_results	4096	0	0.000												no_results	20260423T221500Z_rl_pow2_512_unfiltered_retry_stress256
